id;dens;mod;cmm;c.aglom;efici_glob;gama1;assort;central_grau;central_prox;centr_autovetor;centr_autovalor;mfcc1;mfcc2;mfcc3;mfcc4;mfcc5;mfcc6;mfcc7;mfcc8;mfcc9;mfcc10;mf11;mfcc12;label
1;0.005456612;0.879782722;4.564031485;0.809750574;0.244437963;2.946962411;-0.097798111;0.061947285;0.296879725;0.978841284;24.18151586;0.013062217;0.765408422;0.101387039;0.673357642;0.544673917;0.706127234;0.683615321;0.679790139;0.624161534;0.597557876;0.554427231;0.544254064;both
2;0.004464954;0.876114808;4.389287437;0.795491264;0.248228835;3.08952676;-0.030916055;0.063465536;0.300849145;0.969118621;20.14851509;0.143805613;0.395136102;0.110066091;0.936838016;0.653846153;0.517672121;0.352704645;0.306151012;0.252342114;0.288411562;0.300178277;0.32924473;both
3;0.005033674;0.891440536;4.436093789;0.802752468;0.245391628;3.038415865;-0.057099336;0.054997921;0.320635536;0.955999912;19.98421499;0.131855776;0.45274474;0.100141964;0.757203805;0.57714696;0.673081382;0.692334484;0.745852476;0.662198738;0.620081033;0.576365061;0.555877612;both
4;0.007385605;0.867569492;4.198577645;0.816863627;0.27044242;2.713378827;-0.184131094;0.106358471;0.303955742;0.977874256;37.37316576;0.129786599;0.507732;0.587069566;0.492149949;0.673496289;0.809496423;0.598406829;0.627437451;0.641388225;0.557871305;0.553205467;0.564987629;both
5;0.004441119;0.881121839;4.65913805;0.786330431;0.237212186;3.061093883;0.002507986;0.061909592;0.299744906;0.971733184;20.32007614;0.143928836;0.432388068;0.111281019;0.932087386;0.640253619;0.049379637;0.337442933;0.309947273;0.026290579;0.283247936;0.288607479;0.328530182;both
6;0.006957679;0.852605852;3.835163105;0.810264347;0.289256646;2.790763812;-0.152085992;0.134695823;0.357055043;0.974162757;33.78285931;0.138436657;-0.893347176;0.06000809;0.731195503;0.36558063;0.860369736;0.477925735;0.450264431;0.080491713;0.183046372;0.752480198;0.590120599;both
7;0.00701699;0.863783902;3.928657188;0.814909412;0.280227133;2.822662678;-0.149570558;0.102514343;0.322309935;0.956585154;30.5936272;0.127609135;0.462243491;0.901701434;0.711949762;0.576508075;0.751017632;0.705339706;0.687582745;0.653035351;0.06346903;0.64153155;0.620673365;both
8;0.005107952;0.866415847;3.957154181;0.793347568;0.27347902;3.010582541;-0.061454839;0.099157451;0.384957705;0.970973584;24.28648732;0.139235349;-0.251180272;0.426083166;0.627506941;0.376423037;0.670154179;0.37754662;0.497549754;0.076196114;0.192405211;0.656842567;0.616925259;both
9;0.007992018;0.831423095;3.470366121;0.840050568;0.31756575;2.801823024;-0.214367501;0.187900557;0.392578136;0.963620754;39.89963868;0.129921989;0.358841235;0.749739108;0.78939777;0.654639975;0.728722392;0.606060309;0.615042033;0.060403048;0.051772779;0.530316867;0.498537133;both
10;0.004705524;0.860572587;4.416653086;0.795928562;0.249915748;3.005653114;-0.021796958;0.093767357;0.327065776;0.975080146;25.63592578;0.137594685;0.52546916;0.893054668;0.058661019;0.348112402;0.87826513;0.562209454;0.367603649;0.433063878;-0.260191026;0.684683534;0.974921664;both
11;0.005391757;0.84908023;4.249976442;0.779978454;0.257983249;2.747660823;-0.02964812;0.083075857;0.336863869;0.965109158;30.88019893;0.129146649;0.109221132;0.101874092;-0.575244433;0.318070758;-0.170808906;0.662273904;0.43999997;0.679530106;0.830537055;0.99518592;0.821381568;both
12;0.008168842;0.812491215;3.719143039;0.784406314;0.30269365;2.524622746;-0.224496737;0.188250326;0.366867563;0.969686717;47.69199016;0.119418764;0.22010072;0.389382116;0.683431126;0.377685109;0.049502909;0.038885415;0.39835994;-0.133271092;-0.261139205;0.248692902;0.224442151;both
13;0.004972146;0.835785363;4.275943571;0.782462026;0.255729185;2.778808553;0.007733002;0.078229539;0.354112584;0.963214705;26.9998492;0.108154043;0.119881666;0.858685563;-0.127416029;0.210398918;0.040191445;0.588268263;0.596460163;0.609328434;0.565541563;0.272673198;0.796588222;both
14;0.009009728;0.815404302;3.527290264;0.769197865;0.31245322;2.286152215;-0.170253412;0.213212494;0.369273953;0.945780203;47.92458906;0.557744485;0.513351912;0.155163277;0.638950518;0.957117156;0.25594109;0.657484832;0.300400104;0.035211281;0.608098495;0.896205548;0.573304451;both
15;0.005025914;0.813613504;3.711687037;0.77648497;0.291523813;2.855560106;-0.071809671;0.173489094;0.404347667;0.973640002;30.2999841;0.011822316;0.818723945;0.131678783;0.48882522;0.495017628;0.210341027;0.49559392;0.373860425;0.364932657;0.490120859;0.199086689;0.663563955;both
16;0.005591863;0.881968922;4.144114077;0.809358034;0.261667062;3.011231937;-0.094603247;0.0718173;0.326297952;0.961106907;22.34307951;0.123424428;0.443830953;0.105050314;0.822530331;0.616849734;0.070694787;0.071791669;0.759626272;0.630291976;0.515123209;0.448216186;0.491423761;both
17;0.00699648;0.803998712;3.51081511;0.807763467;0.313145459;2.87442162;-0.136591074;0.180470608;0.367605885;0.954136116;33.01130841;0.107516144;0.735949564;0.12212534;0.087676283;0.664878153;0.74665129;0.748379364;0.777100044;0.678028677;0.057675121;0.519441457;0.483339886;both
18;0.005659488;0.880749193;4.089491422;0.793940881;0.26473234;3.103445348;-0.106503776;0.064903966;0.383183175;0.962069545;21.6642785;0.135110728;0.783373187;0.785682035;0.008038153;0.603293776;0.788963797;0.647346863;0.8371291;0.621971352;0.51667044;0.672789309;0.535860429;both
19;0.005427233;0.85159063;3.988027494;0.790782239;0.272768659;3.022822848;-0.09172533;0.093045647;0.363262473;0.969797421;23.99007618;0.134033008;0.246395987;0.875991799;0.803197712;0.464051434;0.714517246;0.45179791;0.757540804;0.529424368;0.433990354;0.780661903;0.504807368;both
